ln_invest,year,risk_text_count,项目概况_len,合作范围_len,批复意见_len,所在区域(省),所属行业(一级行业),所属行业(二级行业),运作方式,回报机制,采购方式,y_true,prob_Logistic,pred_Logistic,prob_RandomForest,pred_RandomForest,prob_XGBoost,pred_XGBoost,prob_LightGBM,pred_LightGBM,prob_CatBoost,pred_CatBoost,prob_Blending(RF+XGB+LGBM+CATB),pred_Blending(RF+XGB+LGBM+CATB)
24.63528884239456,2015,0,153,402,177,湖北省,医疗卫生,医院,BOO,可行性缺口补助,公开招标,0,0.24209782390817328,0,0.17480138404203258,0,0.1816676,0,0.28115655673080064,0,0.11870811201413495,0,0.18908341222218228,0
25.32916735545567,2020,3,143,234,434,贵州省,林业,林业,BOT,可行性缺口补助,公开招标,1,0.8918787344870752,1,0.5291426596006085,1,0.6745553,1,0.5998913474487031,1,0.7287687908584124,1,0.633089524893496,1
23.60296978449643,2016,0,359,236,3,河北省,交通运输,其他,BOT,政府付费,公开招标,0,0.15494123108464167,0,0.10607130644684062,0,0.04566581,0,0.03614050082038965,0,0.04850417001814551,0,0.059095447258172076,0
24.73605049949242,2016,2,154,114,60,陕西省,政府基础设施,其他,BOT,政府付费,公开招标,0,0.23548695889120075,0,0.09558132346703649,0,0.06531344,0,0.04804050465173583,0,0.047299472237601996,0,0.06405868597447528,0
25.51710853631685,2016,1,137,366,2,河南省,交通运输,其他,BOT,政府付费,公开招标,0,0.21092694881090468,0,0.14851232251196367,0,0.045434043,0,0.05016693653679791,0,0.05427225208330565,0,0.07459638848586524,0
26.96929002150082,2018,2,152,119,2,山西省,交通运输,一级公路,BOT,可行性缺口补助,公开招标,0,0.6863566640195566,1,0.22688966258641027,0,0.21356443,0,0.23370757602805814,0,0.20430440808959655,0,0.21961651810273208,0
25.44503631498979,2016,0,217,78,2,河北省,市政工程,市政道路,BOT,政府付费,公开招标,0,0.12693360868391068,0,0.10177921210776282,0,0.02134579,0,0.01707107276548479,0,0.02606567563019318,0,0.04156543774476193,0
26.518536043640832,2016,3,445,79,0,江苏省,市政工程,市政道路,BOT,政府付费,公开招标,0,0.11503411487805654,0,0.09374926700501973,0,0.08903877,0,0.07989527862475965,0,0.06870808029409763,0,0.0828478482111109,0
25.215053528191,2021,0,190,197,4,贵州省,市政工程,污水处理,BOT,可行性缺口补助,公开招标,1,0.9474990048884707,1,0.5018840529057484,1,0.8501704,1,0.9249042454932532,1,0.842497248196532,1,0.7798639801280399,1
25.105292471632797,2016,0,119,26,4,浙江省,生态建设和环境保护,其他,BOT,可行性缺口补助,竞争性磋商,0,0.10475825009711284,0,0.11852796323564263,0,0.034825835,0,0.022098531883601617,0,0.0367439060602961,0,0.053049059139129565,0
24.71515639626649,2019,3,170,296,122,云南省,市政工程,市政道路,BOT,政府付费,公开招标,1,0.4184931554147819,0,0.1999401851150945,0,0.126524,0,0.14435341596665374,0,0.22005362974006704,0,0.1727178080454387,0
22.801081057006865,2015,1,410,43,2,广东省,市政工程,市政道路,BOT,政府付费,公开招标,1,0.048729779136594806,0,0.08884267701527924,0,0.02445714,0,0.01749548768588051,0,0.035711555728274856,0,0.04162671508095022,0
22.41919332377151,2017,0,309,12,4,河北省,市政工程,污水处理,BOT,可行性缺口补助,公开招标,0,0.406211547073022,0,0.1455506585449783,0,0.080636345,0,0.09819663130129387,0,0.052160617420463753,0,0.09413606302919982,0
25.038030244574493,2020,0,325,55,4,陕西省,能源,垃圾发电,BOT,可行性缺口补助,公开招标,0,0.8988080379559946,1,0.31869786568143577,0,0.5610709,1,0.4606859373807924,0,0.5072214472460318,1,0.46191904233628134,0
23.57154164109047,2017,5,393,163,195,贵州省,市政工程,其他,TOT,可行性缺口补助,邀请招标,0,0.43451103844138034,0,0.2359120386768836,0,0.3707295,0,0.6701607009459796,1,0.31361376977122873,0,0.39760400385246736,0
24.248968498188496,2017,0,194,179,123,吉林省,养老,养老业,BOO,可行性缺口补助,公开招标,0,0.5113017260670948,1,0.18486968049754893,0,0.12520438,0,0.1667711756591432,0,0.11162386913526108,0,0.14711727740472202,0
25.87076031376568,2015,6,471,38,88,湖南省,城镇综合开发,城镇化建设,BOT,可行性缺口补助,公开招标,0,0.05900226248047499,0,0.11493794978586781,0,0.028375642,0,0.013582618233523885,0,0.04337025713296273,0,0.050066616881628084,0
27.70424555502565,2018,9,286,336,62,山西省,交通运输,高速公路,BOT,使用者付费,公开招标,0,0.678077802857476,1,0.18494304463603578,0,0.10580971,0,0.05983118236832298,0,0.15821153722818848,0,0.12719886878810105,0
24.372026174489545,2016,3,444,202,37,新疆维吾尔自治区,市政工程,其他,BOT,可行性缺口补助,公开招标,0,0.11555263884824309,0,0.12476110439697283,0,0.021411449,0,0.0211900891208714,0,0.047268651366944504,0,0.053657823400476506,0
24.013355478546487,2017,6,407,260,57,山西省,水利建设,水库,BOT,可行性缺口补助,公开招标,1,0.3752879697506942,0,0.15820320624614637,0,0.06908165,0,0.08355703972171938,0,0.14011897379388127,0,0.1127402172364935,0
27.033482252545564,2017,0,188,0,0,江苏省,旅游,其他,其他,可行性缺口补助,公开招标,1,0.4129496996749974,0,0.19078985011670105,0,0.28870395,0,0.36448054410919595,0,0.19261016738195302,0,0.2591461274668009,0
