outcome,province_excluded,nobs,coef,se,pval,delta_vs_full_sample,abs_delta_vs_full_sample,sign_flip,sig_jump_5pct
proc_share,四川,253,-0.39205314855273143,0.1075010943196555,0.0010336293281674415,0.014484049083209993,0.014484049083209993,False,False
proc_share,天津,255,-0.44515920382502394,0.11715388050473521,0.0006870762208924178,-0.038622006189082514,0.038622006189082514,False,False
proc_share,宁夏,255,-0.4106885911517301,0.12153057991217489,0.0020901427833278407,-0.004151393515788693,0.004151393515788693,False,False
proc_share,安徽,253,-0.4088701709834888,0.10888320181283659,0.0007744952422177841,-0.0023329733475473957,0.0023329733475473957,False,False
proc_share,山东,253,-0.4006945778112979,0.10713611909655324,0.0008063884415164145,0.0058426198246435135,0.0058426198246435135,False,False
proc_share,山西,253,-0.40691667416820826,0.10817097285845431,0.0007607891199074922,-0.0003794765322668314,0.0003794765322668314,False,False
proc_share,广东,253,-0.4126329433575741,0.10149596282766446,0.0003347728723769396,-0.006095745721632684,0.006095745721632684,False,False
proc_share,广西,253,-0.41663016170053396,0.09676939125939807,0.00017362014519926598,-0.010092964064592536,0.010092964064592536,False,False
proc_share,新疆,253,-0.4661525164563604,0.10983990706984749,0.00020554521848460154,-0.05961531882041898,0.05961531882041898,False,False
proc_share,江苏,253,-0.39990307445669493,0.10254684182009176,0.0005249300399946408,0.006634123179246498,0.006634123179246498,False,False
proc_share,江西,253,-0.23237832093308897,0.1932352187557795,0.2388709961914588,0.17415887670285246,0.17415887670285246,False,True
proc_share,河北,253,-0.38862546305927814,0.0971661198787704,0.0004005004058433303,0.017911734576663285,0.017911734576663285,False,False
proc_share,河南,253,-0.4021643132885364,0.1030413577181334,0.0005203700028079663,0.004372884347405015,0.004372884347405015,False,False
proc_share,浙江,253,-0.3897698940275599,0.10555057496635763,0.0009150463101137413,0.016767303608381523,0.016767303608381523,False,False
proc_share,海南,253,-0.41559432332366886,0.10142957406844513,0.00030692887040835296,-0.00905712568772743,0.00905712568772743,False,False
proc_share,湖北,253,-0.4119340716329169,0.10824650890648056,0.0006765702294535046,-0.005396873996975471,0.005396873996975471,False,False
proc_share,湖南,254,-0.40604988005806364,0.09400941616282278,0.00016713042912743092,0.0004873175778777883,0.0004873175778777883,False,False
proc_share,甘肃,253,-0.41851985522184487,0.09658474718225049,0.00016084256172931155,-0.011982657585903445,0.011982657585903445,False,False
proc_share,福建,253,-0.3959458989939103,0.10207839890824155,0.0005553568516525419,0.010591298642031122,0.010591298642031122,False,False
proc_share,西藏,259,-0.4111655990627336,0.10234795860685453,0.0003816649142183895,-0.004628401426792161,0.004628401426792161,False,False
proc_share,贵州,253,-0.4004781481784684,0.10197989601555747,0.0004875584485634027,0.0060590494574730425,0.0060590494574730425,False,False
proc_share,辽宁,253,-0.39022760194396156,0.10788208885988697,0.0011187558716498603,0.016309595691979872,0.016309595691979872,False,False
proc_share,重庆,253,-0.37360409121460053,0.09007821343850002,0.00026762468015631104,0.032933106421340896,0.032933106421340896,False,False
proc_share,陕西,253,-0.3875595038230609,0.10522366542762164,0.0009386045628087898,0.018977693812880503,0.018977693812880503,False,False
proc_share,青海,255,-0.4415474881474338,0.10769670027418088,0.0003048027297764868,-0.03501029051149235,0.03501029051149235,False,False
proc_share,黑龙江,253,-0.41706207451490085,0.09938731115131395,0.00023418818892854306,-0.010524876878959422,0.010524876878959422,False,False
ppp_quality_zindex,上海,256,0.5182820411531374,0.45515788099892307,0.2641534470081177,-0.0043566189843987635,0.0043566189843987635,False,False
ppp_quality_zindex,云南,254,0.5098202608537926,0.45957399881255123,0.27640171891757914,-0.012818399283743509,0.012818399283743509,False,False
ppp_quality_zindex,内蒙古,253,0.5565979238663629,0.4617238419331045,0.23776322807670722,0.03395926372882674,0.03395926372882674,False,False
ppp_quality_zindex,北京,253,0.5015057674135582,0.46118287762457777,0.28580094284137214,-0.021132892723977892,0.021132892723977892,False,False
ppp_quality_zindex,吉林,253,0.36085479524727077,0.32652600216280636,0.2781865372944607,-0.16178386489026536,0.16178386489026536,False,False
ppp_quality_zindex,四川,253,0.502147131206036,0.46209955476557396,0.2861351948235813,-0.02049152893150008,0.02049152893150008,False,False
ppp_quality_zindex,天津,255,0.5696330594778474,0.4497508412285382,0.21539413148098008,0.046994399340311244,0.046994399340311244,False,False
ppp_quality_zindex,宁夏,255,0.5374299808083045,0.45071306512472875,0.24277054075815077,0.014791320670768382,0.014791320670768382,False,False
ppp_quality_zindex,安徽,253,0.546113591604151,0.4590331037577816,0.24381207346633388,0.023474931466614835,0.023474931466614835,False,False
ppp_quality_zindex,山东,253,0.5086428711141476,0.4328554151310238,0.24951813919434623,-0.013995789023388494,0.013995789023388494,False,False
ppp_quality_zindex,山西,253,0.5718605722224612,0.45989952932404743,0.22366195827025687,0.0492219120849251,0.0492219120849251,False,False
ppp_quality_zindex,广东,253,0.5705189887689305,0.4949958226338294,0.258498107968233,0.04788032863139435,0.04788032863139435,False,False
ppp_quality_zindex,广西,253,0.5710988143961705,0.4747998295499013,0.23877454124881187,0.04846015425863437,0.04846015425863437,False,False
ppp_quality_zindex,新疆,253,0.5936506254033883,0.5590976022658061,0.2970887124444621,0.07101196526585218,0.07101196526585218,False,False
ppp_quality_zindex,江苏,253,0.5278996927187127,0.45426426689422617,0.25467059852425794,0.005261032581176606,0.005261032581176606,False,False
ppp_quality_zindex,江西,253,1.4863120050158003,1.6142883612222076,0.36479142635942896,0.9636733448782642,0.9636733448782642,False,False
ppp_quality_zindex,河北,253,0.5013615490625685,0.465736125735815,0.2905812052844452,-0.02127711107496766,0.02127711107496766,False,False
ppp_quality_zindex,河南,253,0.5153305182581522,0.4554667209953514,0.2671423238751818,-0.007308141879383889,0.007308141879383889,False,False
ppp_quality_zindex,浙江,253,0.4806113320510427,0.4464976718079788,0.2906207381856527,-0.042027328086493454,0.042027328086493454,False,False
