province,year,ppp_doc_n,ppp_inv,ln_ppp_doc_n,ln_ppp_inv,exec_share,proc_share,prep_share,fiscal_pass_rate,vfm_pass_rate,ppp_quality_zindex,did_intensity,did_any,treat_share,post,city_n,dfi,digital_econ,base_station_density,software_gdp_share,it_service_gdp_share,rd_expenditure,tech_contract_value,patent_grants,ln_rd_expenditure,ln_tech_contract_value,ln_patent_grants,doc_count,total_chars,total_sentences,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,A_share,B_cnt,B_idx,B_share,C_cnt,C_idx,C_share,D_cnt,D_idx,D_share,z_A_idx,z_B_idx,z_C_idx,z_D_idx,ppp_governance_capacity_index,ppp_norm_risk_index,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share,text_missing,text_observed,treat_share_x_text_missing,province_harmonized,region_scheme,baseline_controls_complete,baseline_sample_5_3,panel_version,pca_usage_flag
云南,2018,63,72770.9361,4.158883083359672,11.19508566673133,0.8095238095238095,0.1428571428571428,0.0476190476190476,1,1.0,-0.0162693291889604,0.125,1,0.125,1,16.0,68.53,0.0563927,0.00569847,0.005095318414059,0.0037357838882575,1070171.5,894879.43,20340.0,13.88333040839763,13.70444539056665,9.920393832602487,6,36287,384,83,22.87320528012787,0,19,5.236034943643729,0,273,75.23355471656515,0.0,4,1.102323146030259,0.5,24,6.613938876181552,0.0,81,22.32204370711274,0.3333333333333333,767,211.3704632513021,0.0,48,13.2278777523631,0.0,245,67.51729269435334,0.1666666666666666,1,0.2755807865075647,0,11,3.031388651583212,0,74,20.39297820155979,0,375,103.3427949403367,0.0,109,30.03830572932455,0.8333333333333334,1060,292.1156336980186,0.1666666666666666,86,23.69994763965056,0,1.169047574429163,-0.70087036997067,1.370150510111574,-0.3772479153782336,0.6127759048566891,0.0973440749208902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,1,0.0,云南,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
云南,2019,52,57951.7726,3.970291913552122,10.96738369231708,0.6730769230769231,0.2884615384615384,0.0384615384615384,1,1.0,-0.1314759987048118,0.125,1,0.125,1,16.0,115.1,0.0748163,0.0073266,0.0044084181064642,0.0032092147047742,1297740.9,827040.4,22324.0,14.07613631209804,13.62561003321234,10.0134624057447,2,7446,99,2,2.686005909213,0,0,0.0,0,5,6.715014773032501,0.0,4,5.372011818426,0.0,5,6.715014773032501,0.0,15,20.1450443190975,0.5,7,9.401020682245502,0.0,24,32.232070910556,0.0,156,209.508460918614,0.5,0,0.0,0,2,2.686005909213,0,17,22.8310502283105,0,7,9.401020682245502,0.0,24,32.232070910556,0.5,187,251.1415525114155,0.5,19,25.5170561375235,0,-0.4780641389817472,-0.6567929978991738,0.8817633520626044,-0.3256643794706451,-0.0843645949394388,-0.0335646751024048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,1,0.0,云南,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
云南,2020,52,98728.6697,3.970291913552122,11.5001407851122,0.7115384615384616,0.25,0.0384615384615384,1,1.0,-0.0870349096816934,0.125,1,0.125,1,16.0,143.91,0.0883861,0.00895474,0.0043858754827317,0.0038606307015361,1451453.9,499497.6,28943.0,14.18807699065855,13.12136007426402,10.27311820763508,1,587,5,0,0.0,0,0,0.0,0,0,0.0,0.0,2,34.07155025553663,0.0,2,34.07155025553663,0.0,10,170.3577512776831,1.0,1,17.03577512776831,0.0,0,0.0,0.0,13,221.4650766609881,0.0,0,0.0,0,0,0.0,0,6,102.2146507666099,0,0,0.0,0.0,14,238.5008517887564,1.0,14,238.5008517887564,0.0,6,102.2146507666099,0,-0.6428952953659487,3.487582106276164,0.7310935695341909,1.851604138730849,1.191926793481469,2.023426604847068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,云南,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
云南,2021,2,1937.9604,1.09861228866811,7.569907232135701,0.5,0.5,0.0,1,1.0,-0.1531566848309562,0.125,1,0.125,1,16.0,186.38,0.0623732,0.01383914,0.0032383190652305,0.0028187484344379,1764956.0,1060953.0,41167.0,14.38363688544653,13.87467906133109,10.62541653452152,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.125,云南,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
内蒙古,2014,2,6021.07,1.09861228866811,8.703186333019287,1.0,0.0,0.0,1,1.0,0.424577472469583,0.0,0,0.1666666666666666,0,12.0,308.73,0.0450938,1.4677728,0.0016578325836696,0.0008441102768175,1080287.4,139393.15,4031.0,13.8927386004894,11.84506081086127,8.302017809751204,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.1666666666666666,内蒙古,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
内蒙古,2015,36,23735.3873,3.610917912644224,10.07476447882439,0.9444444444444444,0.0277777777777777,0.0277777777777777,1,1.0,0.2316095223132703,0.0,0,0.1666666666666666,0,12.0,325.73,0.0487163,1.6592214,0.0016880230558152,0.0009242066431838,1186260.5,153871.52,5522.0,13.98631732327446,11.94387974637881,8.616676469901188,18,41135,574,33,8.022365382277865,0,6,1.458611887686884,0,50,12.15509906405737,0.0555555555555555,23,5.591345569466391,0.5,68,16.53093472711803,0.0555555555555555,119,28.92913577245654,0.0555555555555555,78,18.9619545399295,0.0,77,18.71885255864835,0.1666666666666666,467,113.5286252582958,0.1666666666666666,7,1.701713868968032,0,19,4.618937644341801,0,47,11.42579312021393,0,89,21.63607633402212,0.0555555555555555,210,51.05141606904096,0.6111111111111112,622,151.2094323568737,0.3333333333333333,73,17.74644463352376,0,-0.26354292477826,-0.2786726385329028,-0.309369255348794,-0.5462541890553231,-0.2838616062199857,-0.3780986943123399,0.0,0.0,0.0,0.0555555555555555,0.0,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0,0.0,0.2777777777777778,0.1666666666666666,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0555555555555555,0.1111111111111111,0.0,0,1,0.0,内蒙古,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
内蒙古,2016,73,55110.8191,4.30406509320417,10.91711947486091,0.958904109589041,0.0,0.0410958904109589,1,1.0,0.1865756413315209,0.1666666666666666,1,0.1666666666666666,1,12.0,359.7,0.052384,1.818762,0.0015423568934416,0.0006343742587474,1279853.0,120492.04,5846.0,14.06225656689018,11.69934727090861,8.67368398817567,9,25908,479,17,6.561679790026247,0,1,0.385981164119191,0,52,20.07102053419793,0.0,22,8.491585610622202,0.4444444444444444,40,15.43924656476764,0.1111111111111111,86,33.19438011425042,0.1111111111111111,110,42.45792805311101,0.0,100,38.5981164119191,0.0,291,112.3205187586846,0.3333333333333333,4,1.543924656476764,0,31,11.96541608769492,0,50,19.29905820595955,0,70,27.01868148834337,0.0,148,57.12521228964027,0.6666666666666666,501,193.3765632237147,0.3333333333333333,85,32.80839895013123,0,-0.1691679561515114,-0.1566372547132356,0.193238359288062,-0.1186799070360281,-0.0441889505255616,-0.0273596008204005,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2222222222222222,0,1,0.0,内蒙古,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
内蒙古,2017,95,81445.481,4.564348191467836,11.30770140867696,0.9263157894736842,0.0736842105263157,0.0,1,1.0,0.3394377019200298,0.1666666666666666,1,0.1666666666666666,1,12.0,393.67,0.0598102,1.9208679,0.0009772486815219,0.0005672142696945,1082639.6,196086.81,6271.0,13.89491361495108,12.18631784809013,8.743850562030243,4,10968,178,14,12.76440554339898,0,4,3.646973012399709,0,11,10.0291757840992,0.0,10,9.11743253099927,0.0,8,7.293946024799417,0.0,39,35.55798687089715,0.25,37,33.7345003646973,0.0,26,23.70532458059811,0.5,162,147.7024070021882,0.25,2,1.823486506199854,0,3,2.735229759299781,0,23,20.97009482129832,0,29,26.44055433989788,0.0,57,51.96936542669584,0.25,225,205.1422319474836,0.75,28,25.52881108679796,0,-0.179304447670495,-0.2602290987564932,0.3334782705719281,-0.325330683464765,-0.0353517586183533,-0.0840271705497767,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0,1,0.0,内蒙古,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
内蒙古,2018,29,9883.0462,3.401197381662155,9.19867724131854,0.7931034482758621,0.1724137931034483,0.0344827586206896,1,1.0,0.0256561116409081,0.1666666666666666,1,0.1666666666666666,1,12.0,103.53,0.0459799,0.27702703,0.0006749870728696,0.0004077685401654,1033594.4,198398.31,9625.0,13.84855396153617,12.19803699600428,9.172223049863057,1,410,5,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,97.5609756097561,1.0,1,24.39024390243902,0.0,4,97.5609756097561,0.0,10,243.9024390243902,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,4,97.5609756097561,1.0,15,365.8536585365853,0.0,0,0.0,0,-0.6428952953659487,0.6558025634149823,2.249064773668672,-1.050034984234576,0.7539906805725684,0.6182774509496926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,内蒙古,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
内蒙古,2019,8,6417.542,2.19722457733622,8.766946268088521,0.625,0.375,0.0,1,1.0,-0.0087231455058214,0.1666666666666666,1,0.1666666666666666,1,12.0,160.07,0.0591291,0.56756757,0.0003636885454956,0.0002411034287231,1183624.6,224792.6,11059.0,13.98409282820298,12.32293792684551,9.311090275076326,1,367,5,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,8,217.983651226158,1.0,0,0.0,0.0,0,0.0,0.0,6,163.4877384196185,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,8,217.983651226158,1.0,6,163.4877384196185,0.0,0,0.0,0,-0.6428952953659487,3.075348248796709,-0.1630190058744989,-1.050034984234576,0.7564779825187539,0.6207647528958782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,内蒙古,方案2：31省区市+新疆生产建设兵团；正式估计样本不含中央,1,1,v3_统一口径_方案2,历史审计列，不进入当前正式主规格
