province,year,city_n,treat_share,treated_city_count_implied,post,did_intensity,did_any,baseline_sample_5_3,baseline_controls_complete
新疆,2022,,0.0,,0,0.0,0,1,1
新疆生产建设兵团,2015,,0.0,,0,0.0,0,0,0
新疆生产建设兵团,2016,,0.0,,0,0.0,0,0,0
新疆生产建设兵团,2017,,0.0,,0,0.0,0,0,0
新疆生产建设兵团,2020,,0.0,,0,0.0,0,0,0
江苏,2014,13.0,0.2307692307692307,3.0,0,0.0,0,1,1
江苏,2015,13.0,0.2307692307692307,3.0,0,0.0,0,1,1
江苏,2016,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
江苏,2017,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
江苏,2018,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
江苏,2019,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
江苏,2020,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
江苏,2021,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
江苏,2022,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
江西,2014,11.0,0.2727272727272727,3.0,0,0.0,0,1,1
江西,2015,11.0,0.2727272727272727,3.0,0,0.0,0,1,1
江西,2016,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
江西,2017,,0.0,,0,0.0,0,1,1
江西,2018,,0.0,,0,0.0,0,1,1
江西,2019,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
江西,2020,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
江西,2021,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
江西,2022,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
河北,2014,11.0,0.2727272727272727,3.0,0,0.0,0,1,1
河北,2015,11.0,0.2727272727272727,3.0,0,0.0,0,1,1
河北,2016,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
河北,2017,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
河北,2018,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
河北,2019,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
河北,2020,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
河北,2021,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
河北,2022,11.0,0.2727272727272727,3.0,1,0.2727272727272727,1,1,1
河南,2014,17.0,0.1176470588235294,2.0,0,0.0,0,1,1
河南,2015,17.0,0.1176470588235294,2.0,0,0.0,0,1,1
河南,2016,17.0,0.1176470588235294,2.0,1,0.1176470588235294,1,1,1
河南,2017,17.0,0.1176470588235294,2.0,1,0.1176470588235294,1,1,1
河南,2018,17.0,0.1176470588235294,2.0,1,0.1176470588235294,1,1,1
河南,2019,17.0,0.1176470588235294,2.0,1,0.1176470588235294,1,1,1
河南,2020,17.0,0.1176470588235294,2.0,1,0.1176470588235294,1,1,1
河南,2021,17.0,0.1176470588235294,2.0,1,0.1176470588235294,1,1,1
河南,2022,17.0,0.1176470588235294,2.0,1,0.1176470588235294,1,1,1
浙江,2014,11.0,0.3636363636363636,4.0,0,0.0,0,1,1
浙江,2015,11.0,0.3636363636363636,4.0,0,0.0,0,1,1
浙江,2016,11.0,0.3636363636363636,4.0,1,0.3636363636363636,1,1,1
浙江,2017,11.0,0.3636363636363636,4.0,1,0.3636363636363636,1,1,1
浙江,2018,11.0,0.3636363636363636,4.0,1,0.3636363636363636,1,1,1
浙江,2019,11.0,0.3636363636363636,4.0,1,0.3636363636363636,1,1,1
浙江,2020,11.0,0.3636363636363636,4.0,1,0.3636363636363636,1,1,1
浙江,2021,11.0,0.3636363636363636,4.0,1,0.3636363636363636,1,1,1
浙江,2022,11.0,0.3636363636363636,4.0,1,0.3636363636363636,1,1,1
海南,2014,2.0,0.0,0.0,0,0.0,0,1,1
海南,2015,3.0,0.0,0.0,0,0.0,0,1,1
海南,2016,3.0,0.0,0.0,1,0.0,0,1,1
海南,2017,3.0,0.0,0.0,1,0.0,0,1,1
海南,2018,3.0,0.0,0.0,1,0.0,0,1,1
海南,2019,3.0,0.0,0.0,1,0.0,0,1,1
海南,2020,3.0,0.0,0.0,1,0.0,0,1,1
海南,2021,3.0,0.0,0.0,1,0.0,0,1,1
