序号,文件名,text_len,A1_pred,A2_pred,B1_pred,B2_pred,B3_pred,B4_pred,C1_pred,C2_pred,C3_pred,A1_score,A2_score,B1_score,B2_score,B3_score,B4_score,C1_score,C2_score,C3_score
337,宁波市人民政府关于加快推进财政改革促进经济...(FBM-CLI.14.1120753).txt,5037,0,1,1,1,1,1,1,0,0,-0.07000924808023234,0.8116430761317489,0.9456206760884902,0.41615906266817343,0.4697252432341291,0.7220141826744174,0.8651887077205247,-0.22110773622194152,-0.25877437356312655
338,宁波市人民政府办公厅关于建立宁波市政府和社...(FBM-CLI.14.1108721).txt,1368,0,1,1,1,0,0,0,0,0,-0.4148814400007164,0.8698910636050976,0.8908744839115336,0.17949465468083756,-0.06833713500841959,-0.05975460957392603,-0.09730036251949842,-0.46165253726997024,-0.3384261999502022
339,宁波市人民政府办公厅关于成立市厨余垃圾处理...(FBM-CLI.14.2527927).txt,555,0,1,1,0,1,1,1,0,0,-0.6370801721710835,0.12244275213285866,0.7085433163130266,-0.0580557762565157,0.5319441790928511,0.3548309530307174,0.0925009532517661,-0.024872606464926506,-0.40242456856516917
340,宁波市人民政府办公厅关于成立市厨余垃圾处理...(FBM-CLI.14.4653627).txt,553,0,1,1,0,1,1,1,0,0,-0.6439224587910446,0.12729178310460282,0.715295233788598,-0.06928561188953074,0.5277938612237024,0.3612123410563469,0.0875693521632796,-0.028234543232489306,-0.4146696011240596
341,宁波市人民政府办公厅关于推广运用政府和社会...(FBM-CLI.12.1099042).txt,7189,1,1,1,1,1,1,1,1,0,0.2913763762288619,1.0459884299501723,1.0782076276379138,0.7553847863542791,0.9117337723198278,0.9621313867237882,0.608732084140965,0.8936884434813583,-1.0130676340108093
342,宁波市财政局关于推广运用政府和社会资本合作...(FBM-CLI.12.2249831).txt,5396,1,1,1,1,1,1,1,1,0,0.1939101841046471,1.0820186438320922,0.8183010196618423,0.7411478891740246,0.725975830066534,0.8479265431668812,0.6590420891579984,0.5541670364140783,-0.9194049014496952
343,宁波市镇海区人民政府关于推广运用政府和社会...(FBM-CLI.12.8349851).txt,7060,1,1,1,1,1,1,1,1,0,0.20710701666060582,1.023085669994936,1.0530323898828002,0.7643692130834547,0.9073023564826534,0.9428995795332085,0.4409581931224822,0.8562624456727075,-0.9967774656291408
344,宁海县人民政府办公室关于印发宁海县推广运用...(FBM-CLI.12.8368111).txt,4300,1,1,1,1,1,1,1,1,0,0.2115425252658254,1.0630903958724771,1.1017402636054254,0.7523185175099365,0.9730390144527483,0.9048908634631196,0.4965465664256602,0.863709251211759,-0.8782689900697151
345,宁海县推广运用政府和社会资本合作模式操作细...(FBM-CLI.12.8368522).txt,5243,0,1,1,1,1,1,1,1,0,-0.14384332190825305,0.5772842431329323,0.892262393457813,0.9229590569722015,1.0163747197318145,0.7544056742161879,0.2426243940097974,0.23008390237586068,-0.6684053204124047
346,平湖市人民政府办公室关于推广运用政府和社会...(FBM-CLI.12.8202749).txt,4561,1,1,1,1,1,1,1,1,0,0.10070964393673187,1.1587725603323484,1.1004334923991035,0.7303799471750267,1.048943782096053,0.9122407994572921,0.6149841547486387,0.8673885924961169,-0.8596470499844608
347,慈溪市人民政府办公室关于推广运用政府和社会...(FBM-CLI.14.8354521).txt,7513,1,1,1,1,1,1,1,1,0,0.5386875039511637,0.9627964403382674,0.9712869503420791,0.954321830571873,0.9714479932968447,1.005455152205606,0.699874420856732,0.34368715365673314,-0.89483484925839
348,松阳县人民政府关于印发开展政府和社会资本合...(FBM-CLI.12.8328296).txt,3973,1,1,1,1,1,1,1,1,0,0.5425664176816237,0.858536631546795,0.7818260067463952,0.5698981869697906,0.986825725943812,0.8747222237177588,0.5301266920983118,0.5542837618660925,-0.7963102221504552
349,永康市人民政府办公室关于成立永康市政府和社...(FBM-CLI.14.8267171).txt,640,0,0,1,0,1,1,1,1,0,-0.5464384520947698,-0.02835164735656215,0.6487918315647525,-0.04956831193360656,0.3023993589392816,0.35071697756075104,0.0877747620342651,0.08191299210247066,-0.7790533824593742
350,泰顺县人民政府办公室关于成立泰顺县政府与社...(FBM-CLI.14.8086346).txt,349,0,0,1,0,1,1,0,1,0,-0.6980196842760527,-0.13455325464585288,0.6063188590965982,-0.22405157643640466,0.30526789761935036,0.1584232873700518,-0.23964577646709045,0.04442757508604217,-0.8644894795743336
351,洞头区人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.8125864).txt,7748,1,1,1,1,1,1,1,1,0,0.4084441089583023,0.5790207238629124,0.5776192769629394,0.5983291511271986,0.8573509304816986,0.6412526171961561,0.3837823126304807,0.5363964921548108,-0.6552898457514058
352,浙江省人民政府办公厅关于推广运用政府和社会...(FBM-CLI.12.1036383).txt,3940,1,1,1,1,1,1,1,1,0,0.10983231281239059,1.1285126694945866,0.9904457543676605,0.7773261769966813,1.000919930010223,0.8611923927550176,0.4718733773033722,0.9092451544430777,-0.761623031434503
353,浙江省发改委关于发布我省2015年政府与社会资本...(FBM-CLI.14.5043753).txt,715,0,1,1,1,1,1,1,0,0,-0.3593960812797538,0.445943287065471,0.42167271406949347,0.45468330250004513,0.43098220372965435,0.20625237936305085,0.27096818653349375,-0.20062626701886999,-0.29264337459730955
354,浙江省财政厅关于公布第二批政府和社会资本合...(FBM-CLI.14.1925034).txt,737,0,1,1,1,1,1,1,0,0,-0.16821347004328407,0.8624384425295838,0.5760707518664909,0.37527959413847295,0.4249920506095935,0.34465212173762727,0.2499691112468867,-0.12512753345861058,-0.7261857135127685
355,浙江省财政厅关于印发浙江省推广政府和社会资...(FBM-CLI.12.1152475).txt,1404,0,1,1,1,1,1,1,0,0,-0.28518321255143214,0.9856216097349523,0.6453290238236581,0.4335538854934628,0.4942477279239796,0.7881716784097381,0.08111747930938107,-0.08583135871301126,-0.7788797394826683
356,浙江省财政厅关于推广运用政府和社会资本合作...(FBM-CLI.12.1034076).txt,5709,1,1,1,1,1,1,1,1,0,0.020605967235242162,1.0905886362128303,0.8024322158062467,0.7776032374523396,0.6654047912575342,0.7249127322231351,0.5338636719767919,0.6713900737830898,-0.9309528805597833
357,浙江省财政厅关于政府和社会资本合作(PPP)项目推...(FBM-CLI.14.1924929).txt,430,0,1,1,1,1,0,0,0,0,-0.48825791772953386,0.5308396751646045,0.1514414906781858,0.0859339358893168,0.011681849317085824,-0.2786573314490765,-0.6524455184519088,-0.1957339856646916,-0.6906104708085279
358,浙江省财政厅转发财政部关于印发《政府和社会...(FBM-CLI.12.1079546).txt,771,0,1,1,1,1,1,1,0,0,-0.4196634383065616,0.7865151154419285,0.6467907258189263,0.14589379255120136,0.03092946147684561,0.6019162708602621,0.26680690835259824,-0.19258731348296723,-0.7442658635747841
359,海宁市人民政府办公室印发关于推广运用政府和...(FBM-CLI.12.8226228).txt,4423,1,1,1,1,1,1,1,1,0,0.12308556211127542,1.1304743094275893,1.0823704321970822,0.7656171343287643,1.000231614329636,0.8101699351115623,0.5763158655135434,0.7974945905170836,-0.7798693096469155
360,海盐县人民政府办公室关于印发海盐县推广运用...(FBM-CLI.12.8213849).txt,6352,1,1,1,1,1,1,1,1,0,0.3547440545102971,0.8582940270479582,0.7979646885612607,0.8030995851184897,0.9891616621691484,0.7495463812726411,0.48703582441344795,0.7098291949503568,-0.993063633752646
361,温州市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1084532).txt,7500,1,1,1,1,1,1,1,1,0,0.7541544201774881,1.0631043904941238,1.0422571464492993,1.070218923289219,0.8274180872113321,0.9603387345147976,1.0067272528381082,0.8243211248435447,-0.7101694979205142
362,湖州市人民政府办公室关于促进社会资本进入公...(FBM-CLI.12.1162415).txt,5443,0,1,1,1,1,1,0,1,0,-0.6707381998508986,1.029379355027146,0.9861426172896641,0.8030429607545664,0.9593036203154452,0.8022607940214859,-0.4730394139344082,0.8223673229658615,-0.9367810869172837
363,湖州市南浔区人民政府办公室关于促进社会资本...(FBM-CLI.12.8056347).txt,5586,0,1,1,1,1,1,0,1,0,-0.5462049251297407,1.001670648715204,0.9343851538410742,0.7063428430785144,0.9390011171311663,0.7536806456897839,-0.470526762774197,0.7388408889163276,-1.027417179501009
364,瑞安市人民政府办公室关于推广运用政府和社会...(FBM-CLI.12.8127847).txt,4206,1,1,1,1,1,1,1,1,0,0.11020995696735347,0.6091809022988816,0.7166621342406454,0.7912899432684095,0.9508079849820776,0.5047005776369695,0.12143807518303151,0.3733167831034621,-0.719952336897463
365,绍兴市人民政府办公室关于推广运用政府和社会...(FBM-CLI.12.1102444).txt,4969,1,1,1,1,1,1,1,1,0,0.35956519897786665,1.1951672678379535,1.0670601407274556,1.0361776604251605,0.8348411772514643,0.8731343943145773,0.7690817498241376,0.6763104248845606,-0.7144016477915089
366,缙云县人民政府办公室关于成立政府和社会资本...(FBM-CLI.14.8330790).txt,755,0,1,1,0,1,1,0,1,0,-0.7988864830272916,0.0839817540131696,0.6901926946868684,-0.14304560256006116,0.4335967219910247,0.27448439250672696,-0.238444875952124,0.06722220820353775,-0.8005105396930259
367,衢州市衢江区人民政府办公室关于推广运用政府...(FBM-CLI.12.8277374).txt,7592,1,1,1,1,1,1,1,1,0,0.45040901129593947,1.0057972042413428,0.829052614017878,0.8473572013401578,1.0744350391361759,0.8265835246444888,0.605422756151642,0.9190742502191369,-0.8958806721916341
368,诸暨市人民政府关于印发《诸暨市推广运用政府...(FBM-CLI.14.6390393).txt,2044,0,1,1,1,1,1,1,1,0,-0.09741456272913157,0.638773530225516,1.0694831645709098,1.0895917444897174,0.9330178419040029,0.8075533984809367,0.5030454616395644,0.5367396262041955,-0.6441206761079328
369,三门县人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.8302052).txt,13325,1,1,1,1,1,1,1,1,0,0.07404315159538705,0.5646913573991492,0.4950559978392247,0.627994778854001,0.6698060168553108,0.4774770915704969,0.6006685914209527,0.07533062422548858,-0.440176841826207
370,云和县人民政府办公室关于印发云和县中医医院...(FBM-CLI.14.8314702).txt,2882,0,1,1,1,1,1,0,0,0,-0.5136259500034581,0.5126755100695307,0.8667349054231317,0.08749305772373447,0.7856092761252929,0.5341539589532166,-0.21210820637601754,-0.3975767879690407,-0.6586925785129555
371,嘉善县人民政府关于印发《嘉善县政府和社会资...(FBM-CLI.12.8201607).txt,7652,1,1,1,1,1,1,1,1,0,0.0704931603048316,0.3896812669453037,0.5611430224456417,0.8134256990063045,1.074144355344376,0.812520437473795,0.029557294984725535,0.6136984685498781,-0.849574650884805
372,宁波市人民政府办公厅关于印发宁波市政府与社...(FBM-CLI.14.1183555).txt,4437,0,1,1,1,1,1,1,0,0,-0.4342011786282944,0.650041742855761,0.8191099275186966,0.825751010425166,0.43513563373245484,0.560003777417959,0.4412347455748018,-0.0920894762852717,-0.38036231379384117
373,宁波市鄞州区人民政府办公室关于成立政府和社...(FBM-CLI.14.8359688).txt,1361,0,0,1,0,1,1,1,0,0,-0.4855227453982516,-0.32675327731488046,0.2437610977914572,-0.009682050088652458,0.4470037825701231,0.20853530723477676,0.12168036910033925,-0.20253765298599238,-0.6342542880343898
374,建德市人民政府关于印发建德市政府和社会资本...(FBM-CLI.12.7901233).txt,2833,0,1,1,1,1,1,0,0,0,-0.3480823758541196,0.23548304336645134,0.4611848237100464,0.3919392792015754,0.7291754964913078,0.1544710852712494,-0.17827613284746616,-0.22115534560608627,-0.5662187476867142
375,泰顺县人民政府办公室关于成立政府和社会资本...(FBM-CLI.14.8085251).txt,434,0,1,1,1,1,1,0,0,0,-0.36791235762207836,0.5979771135006118,0.6409039406647961,0.08255732596373419,0.4879511201027501,0.19748301080311,-0.2811053144503084,-0.11164655572132895,-0.6714131332444531
376,浙江省交通运输厅办公室转发交通运输部办公厅...(FBM-CLI.12.1184820).txt,658,0,1,1,1,1,1,0,1,0,-0.7821632619263363,0.23740406066738381,0.3731772645555371,0.4851108072628116,0.31866316892164537,0.44990722898551977,-0.40357961584801616,0.008640968931269977,-0.2749103537046726
377,浙江省发展和改革委员会、浙江省农业厅转发国...(FBM-CLI.12.5043383).txt,312,1,1,1,0,1,0,1,0,0,0.06052202631321474,0.4698078752789048,0.38779900299139103,-0.31819941922186096,0.46826353675243043,-0.041615965448776604,0.09780639428450766,-0.026496958030961026,-0.6447389864015054
378,浙江省发展改革委关于发布我省2016年政府和社会...(FBM-CLI.14.5043439).txt,611,0,1,1,0,1,0,1,0,0,-0.18085551446897694,0.3337014613473164,0.14074159675791692,-0.019764060007787992,0.2877413147337833,-0.05930712641095215,0.09138398400505243,-0.2887577744309872,-0.5625670114620619
379,浙江省发展改革委关于组织申报2016年政府与社会...(FBM-CLI.14.5043942).txt,1561,0,1,1,1,1,1,1,0,0,-0.4381556805925477,0.5227268222733941,0.5840102399807945,0.4689842229769113,0.7473206251990671,0.30111340860282365,0.21077299881422107,-0.13145750974432635,-0.6518595873857785
380,浙江省财政厅、浙江省发展和改革委员会、中国...(FBM-CLI.12.1170815).txt,5012,1,1,1,1,1,1,1,1,0,0.13798246942251213,1.0769697327091263,0.908547075096874,0.8060228705134971,0.5650120996526318,0.5843169386754659,1.0239604385768422,0.1389749476999802,-0.41862765539926594
381,浙江省财政厅关于公布浙江省第三批政府和社会...(FBM-CLI.14.1924655).txt,628,0,1,1,1,1,1,0,0,0,-0.12288913567981963,0.8696439218370914,0.3939740976645213,0.30669817081990275,0.47331407263519704,0.009452619045943356,-0.14294247761723003,-0.03915843100590838,-0.45228088924397564
382,浙江省财政厅关于公开征集政府和社会资本合作...(FBM-CLI.14.1192430).txt,1925,0,1,1,1,1,1,0,0,0,-0.4247154562486296,0.8642399474782729,0.4438616279144963,0.5068177188512029,0.589872404354332,0.2147220266119862,-0.18558813514072306,-0.044482872132599716,-0.35989438144521124
383,浙江省财政厅关于印发浙江省基础设施投资(含...(FBM-CLI.12.1184910).txt,3799,0,1,1,1,1,1,1,1,0,-0.25963608586463605,0.9367686604994341,0.9173252601749419,0.4767395987989505,0.6732672214882871,0.46441036017249093,0.0053949431478605425,0.043125435936312906,-0.6561198895724841
384,浙江省财政厅关于完善PPP咨询服务机构库的公告(FBM-CLI.14.1936680).txt,2239,0,1,1,1,1,0,0,1,0,-0.8431769326136612,0.5472968308064463,0.8617128274036348,0.5431049706344553,0.8539975571195733,-0.3618058010293032,-0.8102904828384763,0.4893799616192262,-0.9199071001832164
385,浙江省财政厅等部门转发财政部等二十部委关于...(FBM-CLI.14.1930262).txt,1466,0,1,1,1,1,0,0,0,0,-0.27220221912565545,0.9996269942833369,0.4400771093883513,0.10054221594020893,0.39491136441347646,-0.10409431484783643,-0.32204635824111544,-0.12901316606815103,-0.4136235164587605
386,湖州市南浔区人民政府办公室关于印发南浔区政...(FBM-CLI.12.8058925).txt,3966,0,1,1,1,1,1,1,1,0,-0.3657037820416993,0.13276396693384301,0.6908284715811621,0.5110427552857699,0.9378404077642395,0.7241234310664415,0.5224928596348274,0.5169598842809342,-0.8957193932217975
387,绍兴市上虞区人民政府办公室关于推广运用政府...(FBM-CLI.14.5663536).txt,11831,1,1,1,1,1,1,1,1,0,0.2749615977760914,1.1961481509450906,0.9977996291130016,1.0349161128574316,0.9334958230348218,0.9351296483730027,0.5131535287845055,0.7921783476353865,-0.747225943456868
