province,year,doc_count,total_chars,total_sentences,A1_cnt,A1_idx,A1_share,A2_cnt,A2_idx,A2_share,A3_cnt,A3_idx,A3_share,B1_cnt,B1_idx,B1_share,B2_cnt,B2_idx,B2_share,B3_cnt,B3_idx,B3_share,C1_cnt,C1_idx,C1_share,C2_cnt,C2_idx,C2_share,C3_cnt,C3_idx,C3_share,D1_cnt,D1_idx,D1_share,D2_cnt,D2_idx,D2_share,D3_cnt,D3_idx,D3_share,A_cnt,A_idx,A_share,B_cnt,B_idx,B_share,C_cnt,C_idx,C_share,D_cnt,D_idx,D_share,z_A_idx,z_B_idx,z_C_idx,z_D_idx,ppp_governance_capacity_index,ppp_norm_risk_index,topic_0_share,topic_1_share,topic_2_share,topic_3_share,topic_4_share,topic_5_share,topic_6_share,topic_7_share,topic_8_share,topic_9_share,topic_10_share,topic_11_share,topic_12_share,topic_13_share,topic_14_share,topic_15_share,topic_16_share,topic_17_share,topic_18_share,topic_19_share,topic_20_share,topic_21_share,topic_22_share,topic_23_share,text_missing,text_observed
中央,2020.0,5,68993,622,19,2.7539025698259247,0.0,5,0.7247112025857696,0.0,195,28.26373690084501,0.4,3,0.4348267215514617,0.2,7,1.0145956836200771,0.0,82,11.885263722406622,0.2,41,5.942631861203311,0.2,102,14.784108532749698,0.0,280,40.58382734480309,0.0,0,0.0,0.0,48,6.957227544823388,0.0,87,12.609974924992391,0.0,219,31.742350673256706,0.4,92,13.33468612757816,0.4,423,61.310567738756106,0.2,135,19.56720246981578,0.0,-0.086346326411228,-1.0364813380112974,-1.3809113065962275,-0.4945670568134485,-0.8345796570062509,-0.9706532338069912,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
中央,2021.0,1,3678,67,18,48.93964110929853,0.0,2,5.43773790103317,0.0,96,261.01141924959217,0.0,0,0.0,0.0,7,19.032082653616097,0.0,27,73.4094616639478,1.0,17,46.22077215878194,0.0,5,13.594344752582929,0.0,29,78.84719956498095,0.0,0,0.0,0.0,1,2.718868950516585,0.0,18,48.93964110929853,0.0,116,315.3887982599238,0.0,34,92.44154431756388,1.0,51,138.66231647634584,0.0,19,51.65851005981512,0.0,4.886919188074765,0.5529423850372086,-0.4589235611230908,0.4164314440069223,1.6603126706629612,0.1701500893070133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
中央,2022.0,2,7776,145,5,6.430041152263375,0.0,3,3.858024691358025,0.0,21,27.00617283950617,0.0,16,20.5761316872428,0.0,21,27.00617283950617,0.0,33,42.43827160493827,0.5,4,5.1440329218107,0.0,35,45.010288065843625,0.5,138,177.46913580246914,0.0,5,6.430041152263375,0.0,6,7.716049382716049,0.0,24,30.8641975308642,0.0,29,37.29423868312757,0.0,70,90.02057613168725,0.5,177,227.62345679012347,0.5,35,45.010288065843625,0.0,0.0109967336365895,0.5043000251278229,0.6014413631512117,0.2277036942060244,0.3722460406385413,0.4444816941616863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,1
中央,2023.0,3,12651,180,9,7.114062129475931,0.0,1,0.7904513477195478,0.0,42,33.19895660422101,0.3333333333333333,3,2.3713540431586435,0.6666666666666666,6,4.742708086317287,0.0,41,32.40850525650146,0.0,4,3.161805390878192,0.0,46,36.3607619950992,0.0,134,105.9204805944194,0.0,3,2.3713540431586435,0.0,10,7.904513477195479,0.0,13,10.275867520354122,0.0,52,41.10347008141649,0.3333333333333333,50,39.5225673859774,0.6666666666666666,184,145.4430479803968,0.0,26,20.551735040708245,0.0,0.0777852279434648,-0.5103115383143816,-0.3781011950601431,-0.4666184388402947,-0.27020916847702,-0.4516770574049398,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
中央,2024.0,4,5987,97,57,95.20628027392684,0.0,1,1.6702856188408215,0.0,14,23.383998663771507,0.0,1,1.6702856188408215,0.0,0,0.0,0.0,41,68.4817103724737,0.0,21,35.07599799565726,0.5,24,40.08685485217972,0.0,87,145.3148488391515,0.5,4,6.681142475363287,0.0,6,10.02171371304493,0.0,19,31.735426757975613,0.0,72,120.26056455653918,0.0,42,70.15199599131452,0.0,132,220.47770168698847,1.0,29,48.43828294638383,0.0,1.4656723371580205,0.105098320737589,0.5162681286120296,0.3250165939136457,0.6956795955025464,0.3154610144210881,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
中央,2025.0,4,16655,313,61,36.62563794656259,0.0,3,1.801260882617833,0.0,22,13.20924647253077,0.0,4,2.401681176823777,0.25,5,3.0021014710297207,0.0,81,48.63404383068148,0.0,50,30.02101471029721,0.5,99,59.44160912638847,0.25,359,215.55088561993395,0.0,1,0.6004202942059442,0.0,32,19.21344941459021,0.0,46,27.61933353347343,0.0,86,51.6361453017112,0.0,90,54.037826478534974,0.25,508,305.0135094566196,0.75,79,47.43320324226959,0.0,0.2624580517847287,-0.2186693510782422,1.5238856691240337,0.2964846900301657,0.52255812327684,0.5339003360253191,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,1
云南,2014.0,1,19988,369,15,7.504502701620972,0.0,1,0.5003001801080649,0.0,38,19.011406844106464,0.0,11,5.503301981188714,1.0,11,5.503301981188714,0.0,43,21.51290774464679,0.0,20,10.006003602161297,0.0,36,18.010806483890335,0.0,134,67.04022413448068,0.0,29,14.50870522313388,0.0,21,10.50630378226936,0.0,85,42.52551530918552,0.0,54,27.016209725835505,0.0,65,32.519511707024215,1.0,190,95.05703422053232,0.0,135,67.54052431458875,0.0,-0.1692112943683125,-0.6510177057016084,-0.9786731018108508,0.8672853437905313,-0.5996340339602573,-0.2541351545739759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
云南,2015.0,4,24782,450,11,4.438705512065209,0.0,4,1.614074731660076,0.0,51,20.579452828665968,0.0,30,12.105560487450568,0.75,30,12.105560487450568,0.0,140,56.49261560810265,0.25,281,113.38874989912031,0.0,137,55.2820595593576,0.0,303,122.26616092325074,0.0,6,2.4211120974901137,0.0,37,14.930191267855704,0.0,51,20.579452828665968,0.0,66,26.63223307239125,0.0,200,80.7037365830038,1.0,721,290.93697038172866,0.0,94,37.930756194011785,0.0,-0.1759436820473739,0.3171050569374589,1.3561015305940634,0.0267320477979893,0.4990876351613828,0.5666462117765039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,1
云南,2016.0,7,38575,641,25,6.480881399870382,0.0,6,1.5554115359688918,0.0,70,18.14646791963707,0.0,49,12.702527543745951,0.2857142857142857,43,11.147116007777058,0.1428571428571428,112,29.03434867141932,0.1428571428571428,64,16.591056383668178,0.2857142857142857,84,21.77576150356448,0.0,380,98.5093972780298,0.1428571428571428,35,9.073233959818536,0.0,41,10.628645495787428,0.0,119,30.848995463383023,0.0,101,26.182760855476342,0.0,204,52.88399222294232,0.5714285714285714,528,136.8762151652625,0.4285714285714285,195,50.55087491898898,0.0,-0.1838244247646593,-0.2418523162504975,-0.4802128473754146,0.3849882268703595,-0.3019631961301904,-0.1123589789185175,0.0,0.2857142857142857,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0,1
云南,2017.0,9,18489,281,3,1.6225864027259451,0.0,4,2.163448536967927,0.0,20,10.817242684839634,0.1111111111111111,12,6.4903456109037805,0.6666666666666666,33,17.848450429985395,0.0,62,33.53345232300287,0.2222222222222222,52,28.12483098058305,0.0,31,16.766726161501435,0.0,276,149.27794905078696,0.0,3,1.6225864027259451,0.0,3,1.6225864027259451,0.0,36,19.47103683271134,0.0,27,14.603277624533506,0.1111111111111111,107,57.87224836389204,0.8888888888888888,359,194.16950619287144,0.0,42,22.716209638163235,0.0,-0.3868512742739278,-0.1416277234847649,0.2026897771597093,-0.4051739773512977,-0.1085964068663277,-0.1147039745587844,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0,1
